spu_code	status
PHO_0IJT	2
M00MBDHQ0000	2
PEL_0A5Z	2
PHO_09XU	2
PEL_0A3A	2
PEL_0DNP	2
PEL_0A19	2
PEL_09BQ	2
PAU_04V4	2
PEL_0CUV	2
PEL_05J1	2
PEL_07IB	2
PEL_0A5N	2
PEL_0EYY	2
PEL_0C05	2
PEL_0DIW	2
PEL_023Q	2
PEL_05EV	2
PAU_05O2	2
PEL_0433	2
PEL_08KD	4
PBE_09T3	2
PBE_06B7	4
PEL_07RD	2
PEL_0BAA	2
PEL_0645	2
PEL_020U	2
POU_04HG	2
PEL_074M	2
PHO_0DWB	2
PEL_05GV	2
PBE_07IE	2
PTO_06XV	4
PEL_0865	2
PEL_0DYX	2
PHO_09QI	2
PH45340M1FQ1	2
POU_0086	2
PST_01DV	2
PEL_0DH8	2
PEL_0BU1	0
PEL_0868	4
PAU_03SH	2
PBE_09CI	2
TO21221464HD	0
PBY_0AOC	2
PTO_08RZ	2
PEL_07OZ	2
TO2122IPZW7A	2
PEL_00MY	2
PTO_02HQ	2
B02360BOWRY9	2
PEL_06YZ	0
PEL_0DLE	2
PAU_02TA	2
PEL_09WC	2
PEL_06WG	2
PEL_0958	2
PEL_076U	2
PEL_0DFZ	2
PEL_00OT	2
PEL_0A1H	2
PEL_00KS	2
PEL_09L1	2
PHO_07JR	2
PEL_05UU	2
PEL_028Y	2
PTO_07SC	4
PEL_09KS	2
PEL_07LO	2
PTO_03IJ	2
PHO_072P	2
PEL_06LF	2
PEL_02EF	2
PEL_04Q6	2
PBE_00KX	2
PEL_09MM	2
PEL_00N5	2
PAU_001V	2
PEL_06L1	2
PTO_096T	2
PEL_0AC3	2
PTO_054X	2
PHO_0NZ7	2
PHO_08OW	2
PHO_0PGO	2
PHO_0HJM	2
PEL_06L7	2
PEL_0997	2
PAU_006E	2
PHO_0PGP	2
PHO_0PGD	2
PBE_0AMI	2
PCL_01GP	2
PHO_0PGT	2
PBY_0DCW	2
PBY_0AKQ	2
PCL_01GQ	2
PHO_0PGN	2
PCL_01GR	2
PTO_02PO	2
OU4534GD9RW4	4
POU_009U	2
PTO_06R8	2
PEL_028T	2
PEL_05F0	2
PEL_0F5R	2
POU_07O3	2
PBE_093Q	2
PHO_02UL	2
PHO_07VK	2
PEL_0630	2
PEL_064A	2
PHO_082Q	2
PHO_0BRX	2
PTO_038L	2
PHO_083F	2
PBY_09E2	2
PEL_035G	2
PEL_04BI	2
EL6136323D47	2
PHO_0AJP	2
PAU_06J2	2
PBE_09CC	2
PEL_00MV	0
PEL_031S	2
PAU_079W	2
PEL_07BA	2
PEL_06BH	2
PBE_0AST	2
PBE_01G9	4
ST3841KWO015	2
PBE_07FY	2
PHO_06V6	2
PTO_08Q8	2
PHO_01B5	2
PBY_0PDD	2
PEL_0A39	0
PEL_09RO	0
PHO_0PV0	2
PTO_0WC3	2
PTO_0WBZ	2
PTO_0WBV	2
PHO_0PVL	2
PBY_0UO3	2
PBY_0UO0	2
PTO_0WC1	2
PTO_0WBY	2
PAU_03O2	2
PHO_09DQ	0
PBE_060S	2
PHO_0ACN	2
PEL_070T	0
